total,success,failure,corruptRecords
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 11, 10), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 11, 20), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 11, 30), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 11, 40), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 11, 50), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 12, 0), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 12, 10), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 12, 20), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 12, 30), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 12, 40), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 12, 50), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 13, 0), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 13, 10), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 13, 20), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 13, 30), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 13, 40), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 13, 50), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 14, 0), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 14, 10), 'Temp_C': '11.56'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 14, 20), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 14, 30), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 14, 40), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 14, 50), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 15, 0), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 15, 10), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 15, 20), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 15, 30), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 15, 40), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 15, 50), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 16, 0), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 16, 10), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 16, 20), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 16, 30), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 16, 40), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 16, 50), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 17, 0), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 17, 10), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 17, 20), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 17, 30), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 17, 40), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 17, 50), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 18, 0), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 18, 10), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 18, 20), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 18, 30), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 18, 40), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 18, 50), 'Temp_C': '11.84'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 19, 0), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 19, 10), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 19, 20), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 19, 30), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 19, 40), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 19, 50), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 20, 0), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 20, 10), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 20, 20), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 20, 30), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 20, 40), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 20, 50), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 21, 0), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 21, 10), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 21, 20), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 21, 30), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 21, 40), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 21, 50), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 22, 0), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 22, 10), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 22, 20), 'Temp_C': '12.13'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 22, 30), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 22, 40), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 22, 50), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 23, 0), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 23, 10), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 23, 20), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 23, 30), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 23, 40), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 25, 23, 50), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 0, 0), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 0, 10), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 0, 20), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 0, 30), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 0, 40), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 0, 50), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 1, 0), 'Temp_C': '12.71'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 1, 10), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 1, 20), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 1, 30), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 1, 40), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 1, 50), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 2, 0), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 2, 10), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 2, 20), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 2, 30), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 2, 40), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 2, 50), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 3, 0), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 3, 10), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 3, 20), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 3, 30), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 3, 40), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 3, 50), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 4, 0), 'Temp_C': '12.42'}"
,,,"{'Time_GMT': datetime.datetime(2002, 8, 26, 4, 10), 'Temp_C': '12.42'}"
